epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.28230391570369767,0.1246177370030581,0.25121669580296774,0.14634146341463414,2024-12-04 02:55:15.811332
1,0.24769478484942642,0.16169724770642202,0.2422680131545881,0.18292682926829268,2024-12-04 02:55:15.811332
2,0.23988131613724092,0.22553516819571864,0.2381916747587483,0.2073170731707317,2024-12-04 02:55:15.811332
3,0.23367428401376858,0.23853211009174313,0.23145839790018594,0.2926829268292683,2024-12-04 02:55:15.811332
4,0.2282076854862569,0.2717889908256881,0.22702065255583787,0.29573170731707316,2024-12-04 02:55:15.811332
5,0.22267791510357404,0.31077981651376146,0.22352177159088413,0.29878048780487804,2024-12-04 02:55:15.811332
6,0.21802948005155687,0.32339449541284404,0.21829216073199018,0.2774390243902439,2024-12-04 02:55:15.811332
7,0.21457111220294184,0.3440366972477064,0.21806274899622288,0.29573170731707316,2024-12-04 02:55:15.811332
8,0.2118683157528577,0.3646788990825688,0.21180530255887567,0.36585365853658536,2024-12-04 02:55:15.811332
9,0.20879458100606177,0.3662079510703364,0.21543586871972897,0.31097560975609756,2024-12-04 02:55:15.811332
10,0.20647244428822753,0.38646788990825687,0.20705812333560572,0.4024390243902439,2024-12-04 02:55:15.811332
11,0.20212818381436373,0.4029051987767584,0.20393303291099826,0.3871951219512195,2024-12-04 02:55:15.811332
12,0.20091705124494863,0.4048165137614679,0.20840849382121387,0.3932926829268293,2024-12-04 02:55:15.811332
13,0.19793535199369494,0.4231651376146789,0.19833247399911647,0.4146341463414634,2024-12-04 02:55:15.811332
14,0.19547372113127226,0.4319571865443425,0.19945352215592455,0.4298780487804878,2024-12-04 02:55:15.811332
15,0.19223623533679077,0.45451070336391436,0.19597693768943228,0.4329268292682927,2024-12-04 02:55:15.811332
16,0.1909221528092291,0.45718654434250766,0.19451656319746158,0.4329268292682927,2024-12-04 02:55:15.811332
17,0.18913017921947192,0.4537461773700306,0.1920778322510603,0.4420731707317073,2024-12-04 02:55:15.811332
